,ip,latitude,longitude
0,62.170.2.205,37.15,15.1833
1,108.41.39.187,40.5833,-73.92399999999999
2,216.244.66.194,47.4891,-122.2908
3,113.96.223.207,23.1167,113.25
4,111.206.36.15,39.9289,116.3883
5,52.25.13.124,45.7788,-119.529
6,123.125.143.15,39.9289,116.3883
7,212.112.33.42,59.6333,17.0667
8,54.37.85.64,48.8582,2.3387
9,107.170.252.110,37.7312,-122.3826
10,106.120.160.109,39.9289,116.3883
11,101.199.108.50,39.9289,116.3883
12,187.38.33.18,-23.5733,-46.6417
13,212.34.138.31,40.4172,-3.6839999999999997
14,208.100.26.232,41.8745,-87.6503
15,77.75.78.165,50.0848,14.4112
16,122.114.43.47,34.6836,113.5325
17,54.87.214.17,39.0853,-77.6452
18,8.36.123.217,37.751,-97.822
19,66.249.69.103,37.4192,-122.0574
20,54.37.85.62,48.8582,2.3387
21,50.202.38.3,28.6344,-81.6221
22,217.175.129.193,55.9116,37.7308
23,95.128.115.41,58.9959,16.2072
24,217.69.134.176,55.7386,37.6068
25,157.55.39.0,47.6801,-122.1206
26,46.229.170.197,39.018,-77.539
27,218.60.28.154,41.7922,123.4328
28,111.206.36.139,39.9289,116.3883
29,111.206.36.11,39.9289,116.3883
30,34.202.164.101,39.0853,-77.6452
31,107.170.236.113,37.7312,-122.3826
32,5.9.144.195,51.2993,9.491
33,107.20.58.28,39.0853,-77.6452
34,192.0.118.116,34.0674,-118.2423
35,218.30.103.92,39.9289,116.3883
36,66.111.41.253,27.8867,-82.5117
37,93.174.93.241,-4.5833,55.6667
38,45.55.164.180,40.8326,-74.1307
39,195.22.125.8,52.2394,21.0362
40,77.75.76.160,50.0848,14.4112
41,45.63.9.220,40.4169,-74.2579
42,192.198.151.44,47.0,8.0
43,54.167.29.208,39.0853,-77.6452
44,160.177.126.255,35.7806,-5.8136
45,38.142.192.58,25.9388,-80.2144
46,171.66.12.159,37.4178,-122.17200000000001
47,196.52.43.122,40.5186,-74.3499
48,38.142.99.10,33.7981,-84.3877
49,196.52.43.61,40.5186,-74.3499
50,157.55.39.162,47.6801,-122.1206
51,185.29.9.195,59.3333,18.05
52,173.212.237.176,51.2993,9.491
53,176.56.224.115,52.3824,4.8995
54,217.69.143.71,55.7386,37.6068
55,115.231.222.202,30.011,120.5715
56,106.120.173.122,39.9289,116.3883
57,192.31.105.185,37.8668,-122.2536
58,210.209.87.83,22.25,114.1667
59,73.179.112.178,26.2977,-80.1776
60,185.50.250.173,50.45,30.5233
61,182.48.105.210,39.9289,116.3883
62,77.75.78.164,50.0848,14.4112
63,54.236.53.88,39.0853,-77.6452
64,34.238.126.127,39.0853,-77.6452
65,94.199.151.22,50.7167,-1.8833
66,159.65.192.238,52.3529,4.9415
67,59.63.28.154,28.55,115.9333
68,180.97.193.131,32.0617,118.7778
69,54.157.61.58,39.0853,-77.6452
70,38.142.99.18,33.7981,-84.3877
71,196.52.43.63,40.5186,-74.3499
72,111.94.170.123,-6.1744,106.8294
73,125.212.217.215,21.0333,105.85
74,107.170.228.51,37.7312,-122.3826
75,107.170.252.129,37.7312,-122.3826
76,45.249.245.182,22.25,114.1667
77,31.47.252.50,51.2993,9.491
78,184.154.47.5,41.8776,-87.6272
79,218.65.85.136,28.55,115.9333
80,52.87.86.158,39.0853,-77.6452
81,60.190.110.189,36.0986,120.3719
82,142.44.241.206,45.504,-73.5747
83,220.115.18.5,39.9289,116.3883
84,188.165.15.85,48.8582,2.3387
85,192.99.5.43,45.504,-73.5747
86,212.115.224.115,48.463,35.039
87,162.209.8.106,29.4889,-98.3987
88,103.243.179.90,33.0,65.0
89,40.77.167.13,36.6648,-78.3715
90,123.30.175.210,21.0333,105.85
91,35.172.194.39,39.0853,-77.6452
92,123.30.175.213,21.0333,105.85
93,123.57.250.139,30.2936,120.1614
94,180.109.108.144,32.0617,118.7778
95,46.222.4.156,37.3824,-5.9761
96,188.68.224.62,52.2394,21.0362
97,66.249.79.200,37.4192,-122.0574
98,208.115.113.82,47.4891,-122.2908
99,107.161.83.151,34.0438,-118.2512
100,192.161.167.3,34.0438,-118.2512
101,37.115.187.114,49.8383,24.0232
102,107.182.247.178,41.1034,-104.9059
103,66.249.79.233,37.4192,-122.0574
104,87.98.216.67,48.8582,2.3387
105,103.27.238.252,10.8142,106.6438
106,157.55.39.73,47.6801,-122.1206
107,66.249.79.240,37.4192,-122.0574
108,66.249.79.226,37.4192,-122.0574
109,93.79.133.235,46.6558,32.6178
110,101.226.33.201,31.0456,121.3997
111,45.32.130.87,37.3338,-121.8915
112,192.3.243.203,42.8884,-78.8761
113,178.73.215.171,59.3247,18.055999999999997
114,77.95.57.248,41.0,75.0
115,89.35.105.216,46.0,25.0
116,40.77.167.14,36.6648,-78.3715
117,155.94.222.12,25.7806,-80.1826
118,176.9.131.69,51.2993,9.491
119,37.58.122.114,52.35,4.9167
120,173.193.219.168,38.9036,-77.4512
121,66.249.73.209,37.4192,-122.0574
122,157.55.39.14,47.6801,-122.1206
123,173.44.194.237,36.175,-115.1372
124,46.4.87.105,51.2993,9.491
125,66.249.64.143,37.4192,-122.0574
126,150.70.188.169,35.69,139.69
127,150.70.173.45,35.69,139.69
128,104.168.75.123,42.8884,-78.8761
129,216.158.219.3,40.7214,-74.0052
130,106.120.173.111,39.9289,116.3883
131,40.77.167.8,36.6648,-78.3715
132,122.88.196.236,39.9289,116.3883
133,123.30.175.211,21.0333,105.85
134,123.30.175.207,21.0333,105.85
135,93.115.95.216,44.4333,26.1
136,142.44.159.96,45.504,-73.5747
137,195.242.80.26,47.85,35.2833
138,212.49.110.70,56.8519,60.6122
139,85.58.20.98,40.4086,-3.6922
140,66.249.73.221,37.4192,-122.0574
141,207.46.13.40,47.6801,-122.1206
142,185.130.5.207,51.2993,9.491
143,117.194.96.132,22.5697,88.3697
144,207.46.13.66,47.6801,-122.1206
145,150.70.188.178,35.69,139.69
146,150.70.188.170,35.69,139.69
147,80.82.70.118,-4.7034,55.5206
